name,state,ingredients,calories_per_100g,spice_level,sweet_level,salty_level,sour_level,bitter_level,taste(0/1),prep_time,cook_time,diet_type_veg,diet_type_nonveg,diet_type_fast,diet_type_jain,diet_type_halal,meal_breakfast,meal_brunch,meal_lunch,meal_snack,meal_dinner,course_soup,course_salad,course_appetizer(starter),course_maincourse,course_sidedish,course_dessert,course_beverage,popularity,health_score,clean_name,clean_ingredients,popularity_score,cluster
Mirchi Ka Salan,Telangana,"green chilies, peanuts, sesame seeds, spices",220,0.9,0.2,0.6,0.3,0.2,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.7,mirchi ka salan,green chilies,0.9,8
Bagara Khana,Telangana,"basmati rice, spices, nuts",250,0.6,0.2,0.5,0.1,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,bagara khana,basmati rice,0.9,5
Haleem,Telangana,"wheat, meat, lentils, spices",280,0.7,0.2,0.6,0.1,0.1,1,60,180,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,haleem,wheat,0.9,5
Khubani Ka Meetha,Telangana,"dried apricots, sugar, nuts",220,0.1,0.9,0.1,0.2,0.1,1,30,20,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.5,khubani ka meetha,dried apricots,0.9,3
Double Ka Meetha,Telangana,"bread, milk, sugar, nuts",280,0.1,0.9,0.2,0.1,0.1,1,15,30,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.4,double ka meetha,bread,0.9,3
Qubani Ka Meetha,Telangana,"dried apricots, sugar, cream",240,0.1,0.9,0.1,0.2,0.1,1,30,20,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.5,qubani ka meetha,dried apricots,0.9,3
Pesarattu,Telangana,"green gram, rice, spices",180,0.4,0.1,0.5,0.1,0.1,1,240,10,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.8,pesarattu,green,0.9,0
Sakinalu,Telangana,"rice flour, sesame seeds",300,0.3,0.2,0.6,0.1,0.2,1,30,30,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.6,sakinalu,rice flour,0.9,5
Sarva Pindi,Telangana,"rice flour, peanuts, sesame seeds",280,0.6,0.1,0.7,0.1,0.2,1,15,30,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.7,sarva pindi,rice flour,0.9,5
Pachi Pulusu,Telangana,"tamarind, onions, green chilies",80,0.7,0.1,0.5,0.8,0.1,1,10,5,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,med,0.8,pachi pulusu,tamarind,0.5,12
Gongura Pachadi,Telangana,"gongura leaves, red chilies, garlic",100,0.8,0.1,0.6,0.7,0.2,1,20,15,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8,gongura pachadi,gongura leaves,0.9,12
Gutti Vankaya Kura,Telangana,"eggplant, peanuts, sesame seeds, spices",180,0.7,0.2,0.6,0.2,0.2,1,30,40,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,gutti vankaya kura,eggplant,0.9,10
Telangana Chicken Curry,Telangana,"chicken, onions, tomatoes, spices",220,0.8,0.1,0.7,0.3,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,telangana chicken curry,chicken,0.9,9
Bendakaya Pulusu,Telangana,"okra, tamarind, spices",120,0.6,0.1,0.5,0.6,0.2,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8,bendakaya pulusu,okra,0.9,12
Palakoora Pappu,Telangana,"spinach, lentils, spices",160,0.5,0.1,0.6,0.2,0.2,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.9,palakoora pappu,spinach,0.9,10
Boti Curry,Telangana,"mutton, spices",260,0.9,0.1,0.7,0.2,0.1,1,30,45,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5,boti curry,mutton,0.9,4
Jonna Rotte,Telangana,"jowar flour, water",180,0.2,0.1,0.3,0.1,0.2,1,15,15,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,high,0.8,jonna rotte,jowar flour,0.9,7
Mamsam Pulusu,Telangana,"mutton, tamarind, spices",240,0.8,0.1,0.7,0.5,0.1,1,30,60,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,mamsam pulusu,mutton,0.9,4
Talakaya Kura,Telangana,"goat head, spices",280,0.9,0.1,0.8,0.2,0.1,1,30,90,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.4,talakaya kura,goat head,0.5,13
Dondakaya Fry,Telangana,"ivy gourd, spices",140,0.6,0.1,0.6,0.2,0.3,1,15,20,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8,dondakaya fry,ivy gourd,0.9,11
Ulavacharu Biryani,Telangana,"rice, horse gram soup, spices",280,0.8,0.1,0.7,0.3,0.2,1,40,50,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,ulavacharu biryani,rice,0.9,5
Polelu,Telangana,"rice flour, jaggery, coconut",220,0.1,0.8,0.2,0.1,0.1,1,30,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.6,polelu,rice flour,0.9,1
Chakna,Telangana,"goat intestines, spices",240,0.9,0.1,0.8,0.2,0.1,1,30,60,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,med,0.4,chakna,goat intestines,0.5,13
Rasam,Telangana,"tamarind, tomato, spices",60,0.7,0.1,0.5,0.8,0.2,1,10,20,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,high,0.9,rasam,tamarind,0.9,12
Gajar Ka Halwa,Telangana,"carrots, milk, sugar, ghee",240,0.1,0.9,0.2,0.1,0.1,1,20,40,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.5,gajar ka halwa,carrots,0.9,3
Pootharekulu,Telangana,"rice starch, powdered sugar, ghee",220,0.1,0.8,0.2,0.1,0.1,1,60,30,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.4,pootharekulu,rice starch,0.9,1
Pulihora,Telangana,"rice, tamarind, peanuts, spices",220,0.7,0.2,0.7,0.6,0.1,1,15,25,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,high,0.7,pulihora,rice,0.9,5
Dappalam,Telangana,"mixed vegetables, tamarind, jaggery",140,0.5,0.4,0.5,0.6,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8,dappalam,mixed vegetables,0.9,10
Kobbari Annam,Telangana,"rice, coconut, spices",200,0.3,0.2,0.5,0.1,0.1,1,10,20,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,kobbari annam,rice,0.9,5
Mokkajonna Garelu,Telangana,"corn, black gram, spices",180,0.5,0.2,0.6,0.1,0.1,1,20,15,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,med,0.7,mokkajonna garelu,corn,0.5,5
Gongura Mamsam,Telangana,"mutton, gongura leaves, spices",260,0.9,0.1,0.7,0.6,0.2,1,30,60,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,gongura mamsam,mutton,0.9,4
Challa Punugulu,Telangana,"rice batter, onions, spices",200,0.6,0.1,0.7,0.2,0.1,1,240,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.6,challa punugulu,rice batter,0.9,5
Bathukamma Pulao,Telangana,"rice, vegetables, spices",220,0.6,0.2,0.6,0.2,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7,bathukamma pulao,rice,0.5,5
Ulava Charu,Telangana,"horse gram, tamarind, spices",120,0.7,0.1,0.6,0.5,0.2,1,240,60,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,high,0.8,ulava charu,horse,0.9,13
Bellam Paramannam,Telangana,"rice, jaggery, milk",200,0.1,0.8,0.1,0.1,0.1,1,15,30,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.6,bellam paramannam,rice,0.9,1
Sakkinalu,Telangana,"rice flour, sesame seeds",280,0.3,0.2,0.6,0.1,0.2,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.6,sakkinalu,rice flour,0.9,5
Karivepaku Annam,Telangana,"rice, curry leaves, spices",180,0.5,0.1,0.6,0.2,0.3,1,10,20,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8,karivepaku annam,rice,0.5,5
Malidalu,Telangana,"rice flour, jaggery",200,0.1,0.8,0.2,0.1,0.1,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,med,0.6,malidalu,rice flour,0.5,1
Ariselu,Telangana,"rice flour, jaggery, ghee",300,0.1,0.8,0.2,0.1,0.1,1,30,30,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5,ariselu,rice flour,0.9,1
Sarvapindi,Telangana,"rice flour, peanuts, sesame seeds",280,0.6,0.1,0.7,0.1,0.2,1,15,30,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.7,sarvapindi,rice flour,0.9,5
Telangana Mutton Korma,Telangana,"mutton, yogurt, spices, nuts",280,0.8,0.2,0.7,0.1,0.1,1,40,60,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5,telangana mutton korma,mutton,0.9,4
Kodi Vepudu,Telangana,"chicken, onions, green chilies, spices",220,0.9,0.1,0.7,0.2,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.6,kodi vepudu,chicken,0.9,9
Telangana Tomato Pappu,Telangana,"lentils, tomatoes, spices",160,0.5,0.2,0.6,0.4,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8,telangana tomato pappu,lentils,0.9,10
Gongura Muthyalu,Telangana,"gongura leaves, rice flour, spices",180,0.7,0.1,0.6,0.7,0.2,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,med,0.7,gongura muthyalu,gongura leaves,0.5,12
Natu Kodi Pulusu,Telangana,"country chicken, tamarind, spices",240,0.8,0.1,0.6,0.5,0.1,1,30,45,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,natu kodi pulusu,country chicken,0.9,9
Boti Fry,Telangana,"mutton, onions, spices",260,0.9,0.1,0.7,0.2,0.1,1,20,40,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,high,0.5,boti fry,mutton,0.9,4
Telangana Pacchadi,Telangana,"mixed vegetables, yogurt, spices",100,0.6,0.2,0.5,0.4,0.1,1,15,10,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,high,0.8,telangana pacchadi,mixed vegetables,0.9,10
Jonna Roti,Telangana,"jowar flour, water",180,0.2,0.1,0.3,0.1,0.2,1,10,15,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,high,0.9,jonna roti,jowar flour,0.9,7
Telangana Chicken Fry,Telangana,"chicken, spices, oil",280,0.9,0.1,0.7,0.1,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.5,telangana chicken fry,chicken,0.9,9
Bachali Kura,Telangana,"malabar spinach, lentils, spices",120,0.5,0.1,0.6,0.3,0.2,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.9,bachali kura,malabar spinach,0.9,10
Telangana Egg Curry,Telangana,"eggs, onions, tomatoes, spices",200,0.7,0.1,0.6,0.3,0.1,1,15,25,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,telangana egg curry,eggs,0.9,10
Dosakaya Pachadi,Telangana,"yellow cucumber, yogurt, spices",80,0.5,0.2,0.5,0.4,0.1,1,15,10,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,med,0.8,dosakaya pachadi,yellow cucumber,0.5,10
Telangana Mushroom Curry,Telangana,"mushrooms, onions, spices",160,0.6,0.1,0.6,0.2,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8,telangana mushroom curry,mushrooms,0.5,10
Anapa Vadiyalu,Telangana,"urad dal, rice, spices",220,0.5,0.1,0.7,0.1,0.1,1,240,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,med,0.6,anapa vadiyalu,urad dal,0.5,0
Telangana Nilava Charu,Telangana,"horsegram, tamarind, spices",140,0.7,0.1,0.6,0.5,0.2,1,240,60,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,high,0.8,telangana nilava charu,horsegram,0.9,12
Boorelu,Telangana,"black gram, jaggery, rice flour",240,0.1,0.8,0.2,0.1,0.1,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5,boorelu,black,0.9,3
Telangana Mutton Dalcha,Telangana,"mutton, lentils, spices",260,0.8,0.1,0.7,0.2,0.1,1,30,60,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,telangana mutton dalcha,mutton,0.9,4
Gummadikaya Pulusu,Telangana,"pumpkin, tamarind, spices",120,0.6,0.3,0.5,0.5,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8,gummadikaya pulusu,pumpkin,0.5,10
Telangana Kheema,Telangana,"minced meat, onions, spices",240,0.8,0.1,0.7,0.2,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5,telangana kheema,minced meat,0.9,13
Menthi Kura Pappu,Telangana,"fenugreek leaves, lentils, spices",140,0.6,0.1,0.6,0.3,0.3,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.9,menthi kura pappu,fenugreek leaves,0.5,11
Telangana Chapala Pulusu,Telangana,"fish, tamarind, spices",200,0.8,0.1,0.6,0.5,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,telangana chapala pulusu,fish,0.9,13
Mamidikaya Pulihora,Telangana,"raw mango, rice, spices",220,0.6,0.3,0.6,0.7,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,mamidikaya pulihora,raw mango,0.9,12
Telangana Kodi Iguru,Telangana,"chicken, coconut, spices",260,0.8,0.2,0.6,0.1,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,telangana kodi iguru,chicken,0.9,9
Vankaya Pachadi,Telangana,"eggplant, yogurt, spices",140,0.7,0.2,0.5,0.3,0.2,1,20,15,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,med,0.7,vankaya pachadi,eggplant,0.5,10
Telangana Paneer Curry,Telangana,"paneer, tomatoes, spices",220,0.7,0.2,0.6,0.3,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,telangana paneer curry,paneer,0.9,10
Telangana Mutton Paya,Telangana,"goat trotters, spices",280,0.8,0.1,0.7,0.2,0.1,1,30,120,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,high,0.5,telangana mutton paya,goat trotters,0.9,13
Sorakaya Perugu Pachadi,Telangana,"bottle gourd, yogurt, spices",100,0.5,0.2,0.5,0.4,0.1,1,15,10,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,med,0.8,sorakaya perugu pachadi,bottle gourd,0.5,8
Telangana Kodi Palav,Telangana,"chicken, rice, spices",280,0.8,0.1,0.7,0.1,0.1,1,30,45,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,telangana kodi palav,chicken,0.9,9
Telangana Royala Iguru,Telangana,"prawns, coconut, spices",220,0.8,0.1,0.7,0.2,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,telangana royala iguru,prawns,0.9,13
Godhuma Ravva Upma,Telangana,"semolina, vegetables, spices",200,0.5,0.1,0.6,0.1,0.1,1,10,20,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.7,godhuma ravva upma,semolina,0.9,0
Telangana Kodi Koora,Telangana,"chicken, onions, spices",240,0.9,0.1,0.7,0.2,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,telangana kodi koora,chicken,0.9,9
Telangana Chepa Vepudu,Telangana,"fish, spices, oil",220,0.8,0.1,0.7,0.1,0.1,1,15,25,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.6,telangana chepa vepudu,fish,0.9,13
Telangana Methi Matar Malai,Telangana,"fenugreek leaves, green peas, cream",180,0.5,0.3,0.5,0.1,0.2,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7,telangana methi matar malai,fenugreek leaves,0.5,11
Telangana Mutton Keema Balls,Telangana,"minced mutton, spices, egg",260,0.8,0.1,0.7,0.1,0.1,1,30,20,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,high,0.5,telangana mutton keema balls,minced mutton,0.9,4
Telangana Aloo Methi,Telangana,"potatoes, fenugreek leaves, spices",160,0.6,0.1,0.6,0.2,0.3,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,telangana aloo methi,potatoes,0.9,10
Telangana Mirchi Salan,Telangana,"green chilies, peanuts, sesame seeds",200,0.9,0.2,0.6,0.3,0.2,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.6,telangana mirchi salan,green chilies,0.9,8
Telangana Vegetable Biryani,Telangana,"basmati rice, mixed vegetables, spices",280,0.7,0.2,0.6,0.1,0.1,1,30,45,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,telangana vegetable biryani,basmati rice,0.9,5
Idli,Tamil Nadu,"rice, urad dal, fenugreek seeds",150,0.2,0.1,0.4,0.1,0.1,1,480,15,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.8,idli,rice,0.9,5
Dosa,Tamil Nadu,"rice, urad dal, fenugreek seeds",170,0.3,0.1,0.5,0.1,0.1,1,480,10,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,high,0.7,dosa,rice,0.9,5
Sambar,Tamil Nadu,"toor dal, vegetables, tamarind, spices",120,0.7,0.2,0.6,0.5,0.1,1,20,40,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,high,0.8,sambar,toor dal,0.9,8
Vada,Tamil Nadu,"urad dal, onion, spices",220,0.5,0.1,0.7,0.1,0.1,1,30,15,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,high,0.6,vada,urad dal,0.9,0
Pongal,Tamil Nadu,"rice, moong dal, black pepper, cumin",200,0.4,0.2,0.6,0.1,0.1,1,10,30,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,high,0.7,pongal,rice,0.9,5
Rasam,Tamil Nadu,"tomato, tamarind, pepper, cumin",60,0.8,0.1,0.5,0.7,0.2,1,15,20,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,high,0.9,rasam,tomato,0.9,12
Chettinad Chicken,Tamil Nadu,"chicken, spices, coconut",280,0.9,0.1,0.7,0.2,0.1,1,30,45,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,chettinad chicken,chicken,0.9,9
Kootu,Tamil Nadu,"vegetables, lentils, coconut",140,0.5,0.2,0.5,0.2,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8,kootu,vegetables,0.9,5
Uttapam,Tamil Nadu,"rice, urad dal, onion, tomato",180,0.4,0.1,0.6,0.2,0.1,1,480,15,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.7,uttapam,rice,0.9,5
Paruppu Payasam,Tamil Nadu,"moong dal, jaggery, coconut milk",220,0.1,0.9,0.1,0.1,0.1,1,10,30,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.5,paruppu payasam,moong dal,0.9,3
Tamarind Rice,Tamil Nadu,"rice, tamarind, peanuts, spices",200,0.7,0.2,0.8,0.6,0.1,1,10,20,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,high,0.7,tamarind rice,rice,0.9,5
Chicken 65,Tamil Nadu,"chicken, yogurt, spices",250,0.8,0.1,0.7,0.2,0.1,1,30,15,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,high,0.5,chicken 65,chicken,0.9,9
Murukku,Tamil Nadu,"rice flour, urad dal flour, spices",450,0.4,0.1,0.7,0.1,0.1,1,20,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.4,murukku,rice flour,0.9,5
Vadacurry,Tamil Nadu,"vada, coconut milk, spices",220,0.7,0.2,0.7,0.3,0.1,1,40,30,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,high,0.6,vadacurry,vada,0.9,10
Kuzhi Paniyaram,Tamil Nadu,"rice, urad dal, onion, spices",180,0.5,0.1,0.6,0.2,0.1,1,480,20,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,high,0.7,kuzhi paniyaram,rice,0.9,5
Thengai Paal,Tamil Nadu,"coconut milk, sugar",180,0.1,0.7,0.1,0.1,0.1,1,10,15,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,med,0.5,thengai paal,coconut milk,0.5,3
Biryani,Tamil Nadu,"rice, meat/vegetables, spices",300,0.8,0.1,0.7,0.2,0.1,1,30,60,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,biryani,rice,0.9,5
Sundal,Tamil Nadu,"chickpeas, coconut, spices",180,0.4,0.2,0.6,0.1,0.1,1,180,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.8,sundal,chickpeas,0.9,10
Aviyal,Tamil Nadu,"mixed vegetables, coconut, curd",140,0.4,0.2,0.5,0.3,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.9,aviyal,mixed vegetables,0.9,5
Kozhi Varuval,Tamil Nadu,"chicken, spices",220,0.8,0.1,0.7,0.2,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.6,kozhi varuval,chicken,0.9,9
Poriyal,Tamil Nadu,"vegetables, coconut, spices",120,0.5,0.2,0.5,0.1,0.1,1,10,15,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.9,poriyal,vegetables,0.9,5
Thayir Sadam,Tamil Nadu,"rice, curd, spices",180,0.3,0.2,0.5,0.4,0.1,1,10,5,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,high,0.7,thayir sadam,rice,0.9,5
Neer Mor,Tamil Nadu,"buttermilk, ginger, curry leaves",60,0.3,0.1,0.4,0.5,0.1,1,5,5,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.9,neer mor,buttermilk,0.9,10
Adai,Tamil Nadu,"rice, lentils, spices",200,0.6,0.1,0.6,0.2,0.1,1,240,15,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.8,adai,rice,0.9,5
Keerai Masiyal,Tamil Nadu,"spinach, dal, spices",100,0.4,0.1,0.5,0.2,0.2,1,10,20,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.9,keerai masiyal,spinach,0.9,10
Paruppu Urundai,Tamil Nadu,"lentils, spices",180,0.6,0.1,0.7,0.1,0.1,1,30,20,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,med,0.7,paruppu urundai,lentils,0.5,10
Chettinadu Fish Curry,Tamil Nadu,"fish, spices, tamarind",200,0.9,0.1,0.7,0.4,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,chettinadu fish curry,fish,0.9,13
Mor Kuzhambu,Tamil Nadu,"buttermilk, vegetables, spices",120,0.6,0.1,0.5,0.6,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8,mor kuzhambu,buttermilk,0.9,8
Kara Kozhambu,Tamil Nadu,"tamarind, vegetables, spices",140,0.8,0.1,0.6,0.7,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,kara kozhambu,tamarind,0.9,12
Paal Payasam,Tamil Nadu,"rice, milk, sugar",220,0.1,0.9,0.1,0.1,0.1,1,10,40,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.5,paal payasam,rice,0.9,1
Vazhaipoo Vadai,Tamil Nadu,"banana flower, lentils, spices",180,0.6,0.1,0.7,0.2,0.2,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,med,0.7,vazhaipoo vadai,banana flower,0.5,10
Kanchipuram Idli,Tamil Nadu,"rice, urad dal, spices",160,0.4,0.1,0.6,0.1,0.1,1,480,30,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,high,0.8,kanchipuram idli,rice,0.9,5
Vegetable Kurma,Tamil Nadu,"mixed vegetables, coconut, spices",160,0.6,0.2,0.6,0.2,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8,vegetable kurma,mixed vegetables,0.9,10
Nethili Fry,Tamil Nadu,"anchovies, spices",200,0.7,0.1,0.8,0.1,0.1,1,15,20,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,high,0.6,nethili fry,anchovies,0.9,13
Thakkali Sadam,Tamil Nadu,"rice, tomato, spices",180,0.6,0.2,0.7,0.5,0.1,1,10,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,thakkali sadam,rice,0.9,5
Mutton Sukka,Tamil Nadu,"mutton, onion, spices",280,0.9,0.1,0.7,0.2,0.1,1,20,45,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5,mutton sukka,mutton,0.9,4
Ragi Dosa,Tamil Nadu,"ragi flour, rice flour",160,0.3,0.1,0.4,0.1,0.2,1,240,10,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.8,ragi dosa,ragi flour,0.9,7
Meen Kuzhambu,Tamil Nadu,"fish, tamarind, spices",180,0.8,0.1,0.7,0.5,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,meen kuzhambu,fish,0.9,13
Ulundhu Vadai,Tamil Nadu,"urad dal, onion, spices",220,0.5,0.1,0.7,0.1,0.1,1,30,15,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,high,0.6,ulundhu vadai,urad dal,0.9,0
Vendhaya Kuzhambu,Tamil Nadu,"fenugreek seeds, tamarind, spices",120,0.7,0.1,0.6,0.5,0.3,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8,vendhaya kuzhambu,fenugreek seeds,0.5,8
Paruppu Usili,Tamil Nadu,"lentils, vegetables, spices",160,0.6,0.1,0.7,0.2,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8,paruppu usili,lentils,0.9,10
